GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
minimarket_segu,com.minimarket.minimarket_segu.modelo,Empleado,3,0,0,0,1,0,1,0,1,0
minimarket_segu,com.minimarket.minimarket_segu.modelo,CategoriaProducto,3,0,0,0,1,0,1,0,1,0
minimarket_segu,com.minimarket.minimarket_segu.modelo,Venta,37,3,10,0,7,1,7,1,2,1
minimarket_segu,com.minimarket.minimarket_segu.modelo,Proveedor,5,0,0,0,2,0,2,0,2,0
minimarket_segu,com.minimarket.minimarket_segu.modelo,DetalleCompra,0,17,0,2,0,3,0,4,0,3
minimarket_segu,com.minimarket.minimarket_segu.modelo,Producto,0,36,0,6,0,5,0,8,0,5
minimarket_segu,com.minimarket.minimarket_segu.modelo,UsuarioRol,3,0,0,0,1,0,1,0,1,0
minimarket_segu,com.minimarket.minimarket_segu.modelo,Cargo,3,0,0,0,1,0,1,0,1,0
minimarket_segu,com.minimarket.minimarket_segu.modelo,MetodoPago,3,0,0,0,1,0,1,0,1,0
minimarket_segu,com.minimarket.minimarket_segu.modelo,Venta.TipoComprobante,34,0,0,0,2,0,1,0,1,0
minimarket_segu,com.minimarket.minimarket_segu.modelo,Cliente.TipoCliente,0,24,0,0,0,2,0,1,0,1
minimarket_segu,com.minimarket.minimarket_segu.modelo,Cliente,2,3,0,0,1,1,1,1,1,1
minimarket_segu,com.minimarket.minimarket_segu.modelo,UsuarioSistema,3,0,0,0,1,0,1,0,1,0
minimarket_segu,com.minimarket.minimarket_segu.modelo,Compra,15,0,2,0,3,0,3,0,2,0
minimarket_segu,com.minimarket.minimarket_segu.modelo,Marca,3,0,0,0,1,0,1,0,1,0
minimarket_segu,com.minimarket.minimarket_segu.modelo,Rol,3,0,0,0,1,0,1,0,1,0
minimarket_segu,com.minimarket.minimarket_segu.modelo,DetalleVenta,4,72,3,13,1,12,3,11,0,6
minimarket_segu,com.minimarket.minimarket_segu.run,minimarket_segu,8,0,0,0,4,0,2,0,2,0
minimarket_segu,com.minimarket.minimarket_segu.run,DBManager,5,0,0,0,3,0,2,0,2,0
